Ernst	B+W+A	hash	uitkomst
1	1	101	24
1	2	102	24
1	3	103	24
1	4	104	12
1	5	105	12
1	6	106	12
1	7	107	12
1	8	108	12
1	9	109	12
1	10	110	12
1	11	111	12
1	12	112	6
1	13	113	6
1	14	114	6
2	1	201	12
2	2	202	12
2	3	203	12
2	4	204	6
2	5	205	6
2	6	206	6
2	7	207	6
2	8	208	6
2	9	209	6
2	10	210	6
2	11	211	6
2	12	212	3
2	13	213	3
2	14	214	3
3	1	301	6
3	2	302	6
3	3	303	6
3	4	304	3
3	5	305	3
3	6	306	3
3	7	307	3
3	8	308	1
3	9	309	1
3	10	310	1
3	11	311	1
3	12	312	0
3	13	313	0
3	14	314	0
4	1	401	1
4	2	402	1
4	3	403	1
4	4	404	1
4	5	405	1
4	6	406	1
4	7	407	1
4	8	408	0
4	9	409	0
4	10	410	0
4	11	411	0
4	12	412	0
4	13	413	0
4	14	414	0
=ZOEKEN(B33;Blad1!G36:G91;Blad1!H36:H91)
